video_filename,question_id,prompt_en,target_sentence_it,tokens_correct_order,choices_pool,distractors
Italian_video_1.txt,01-01,Translate to Italian: We cook the asparagus with oil and salt.,Cuciniamo gli asparagi con olio e sale,Cuciniamo|gli|asparagi|con|olio|e|sale,con|mangiamo|mangiata|gli|sale|olio|i|mangiando|asparagi|Cuciniamo|e,i|mangiando|mangiata|mangiamo
Italian_video_1.txt,01-02,Translate to Italian: We prepare dinner together with Mom.,Prepariamo la cena insieme a mamma,Prepariamo|la|cena|insieme|a|mamma,mangiando|a|mamma|insieme|cena|le|Prepariamo|mangiata|la|mangiamo,mangiamo|le|mangiando|mangiata
Italian_video_1.txt,01-03,Translate to Italian: I put the eggs to boil for dinner.,Metto le uova a bollire per la cena,Metto|le|uova|a|bollire|per|la|cena,per|mangiata|bollire|a|cena|Metto|la|mangiando|uova|le,la|le|mangiando|mangiata
Italian_video_1.txt,01-04,Translate to Italian: Asparagus are in season now.,Gli asparagi sono di stagione adesso,Gli|asparagi|sono|di|stagione|adesso,mangiata|asparagi|mangiando|di|adesso|sono|mangiamo|Gli|mangia|stagione,mangiamo|mangia|mangiando|mangiata
Italian_video_1.txt,01-05,Translate to Italian: Anchovies are rich in omega three.,Le alici sono ricche di omega tre,Le|alici|sono|ricche|di|omega|tre,mangiata|alici|sono|ricche|mangiamo|di|omega|mangiando|mangia|tre|Le,mangiamo|mangia|mangiando|mangiata
Italian_video_1.txt,01-06,Translate to Italian: In the fridge we also find the olives.,Nel frigo troviamo anche le olive,Nel|frigo|troviamo|anche|le|olive,anche|troviamo|le|mangiando|frigo|mangiamo|la|Nel|mangiata|olive,la|mangiando|mangiata|mangiamo
Italian_video_1.txt,01-07,Translate to Italian: We dress the asparagus with oil and salt.,Condiamo gli asparagi con olio e sale,Condiamo|gli|asparagi|con|olio|e|sale,i|gli|mangiamo|olio|con|mangiando|Condiamo|sale|mangiata|e|asparagi,i|mangiando|mangiata|mangiamo
Italian_video_1.txt,01-08,Translate to Italian: We use the basket for steaming.,Usiamo il cestino per la cottura a vapore,Usiamo|il|cestino|per|la|cottura|a|vapore,la|a|vapore|mangiando|lo|cestino|mangiata|cottura|il|le|per|Usiamo,lo|le|mangiando|mangiata
Italian_video_1.txt,01-09,Translate to Italian: I add a touch of mayonnaise on the eggs.,Aggiungo un filo di maionese sulle uova,Aggiungo|un|filo|di|maionese|sulle|uova,Aggiungo|sulle|filo|uova|un|uno|mangiando|di|mangiamo|maionese|mangiata,mangiamo|uno|mangiando|mangiata
Italian_video_1.txt,01-10,Translate to Italian: We put the anchovy fillet on top.,Mettiamo il filetto di alice sopra,Mettiamo|il|filetto|di|alice|sopra,filetto|alice|mangiata|sopra|di|il|mangiando|Mettiamo|lo|mangiamo,mangiamo|lo|mangiando|mangiata
Italian_video_2.txt,02-01,Translate to Italian: The potholes in the streets make people laugh and get angry.,Le buche nelle strade fanno ridere e arrabbiare,Le|buche|nelle|strade|fanno|ridere|e|arrabbiare,ridere|mangia|nelle|arrabbiare|strade|fanno|mangiamo|Le|e|mangiando|buche|mangiata,mangiamo|mangia|mangiando|mangiata
